0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
(-0.5501294136047363+0.20224955677986145j),(-0.5501294136047363-0.20224955677986145j),(-0.36347872018814087+0.4149930477142334j),(-0.36347872018814087-0.4149930477142334j),(-0.5019158720970154+0.0871826633810997j),(-0.5019158720970154-0.0871826633810997j),(-0.4923974573612213+0j),(0.3045753836631775+0.46836012601852417j),(0.3045753836631775-0.46836012601852417j),(0.5158043503761292+0.05818270519375801j),(0.5158043503761292-0.05818270519375801j),(0.44945958256721497+0.27079278230667114j),(0.44945958256721497-0.27079278230667114j),(0.46140217781066895+0.19299696385860443j),(0.46140217781066895-0.19299696385860443j),(0.058557748794555664+0.49837031960487366j),(0.058557748794555664-0.49837031960487366j),(0.17911450564861298+0.46589040756225586j),(0.17911450564861298-0.46589040756225586j),(-0.3694213926792145+0.23597106337547302j),(-0.3694213926792145-0.23597106337547302j),(0.3612162172794342+0.2955210506916046j),(0.3612162172794342-0.2955210506916046j),(-0.26358476281166077+0.3453512489795685j),(-0.26358476281166077-0.3453512489795685j),(-0.04741431400179863+0.44833478331565857j),(-0.04741431400179863-0.44833478331565857j),(-0.13959643244743347+0.414145827293396j),(-0.13959643244743347-0.414145827293396j),(0.2386840283870697+0.3806331157684326j),(0.2386840283870697-0.3806331157684326j),(-0.14040841162204742+0.37008586525917053j),(-0.14040841162204742-0.37008586525917053j),(0.4112187922000885+0j),(-0.3452577292919159+0.015909353271126747j),(-0.3452577292919159-0.015909353271126747j),(-0.25840216875076294+0.19531011581420898j),(-0.25840216875076294-0.19531011581420898j),(0.059121038764715195+0.34458065032958984j),(0.059121038764715195-0.34458065032958984j),(-0.11001088470220566+0.2831825017929077j),(-0.11001088470220566-0.2831825017929077j),(0.2003972977399826+0.2820071578025818j),(0.2003972977399826-0.2820071578025818j),(-0.2476716935634613+0j),(-0.18434563279151917+0j),(-0.15639103949069977+0.10104136168956757j),(-0.15639103949069977-0.10104136168956757j),(0.2647995352745056+0.16414965689182281j),(0.2647995352745056-0.16414965689182281j),(0.04081118106842041+0.2436884045600891j),(0.04081118106842041-0.2436884045600891j),(0.20794495940208435+0.1775008887052536j),(0.20794495940208435-0.1775008887052536j),(0.27174311876296997+0.008526194840669632j),(0.27174311876296997-0.008526194840669632j),(-0.01325437892228365+0.20262792706489563j),(-0.01325437892228365-0.20262792706489563j),(0.2087344378232956+0j),(-0.02583981491625309+0.138065904378891j),(-0.02583981491625309-0.138065904378891j),(0.08488278090953827+0.07666774839162827j),(0.08488278090953827-0.07666774839162827j),(0.003972433041781187+0j)
(-0.5496408939361572+0.20281918346881866j),(-0.5496408939361572-0.20281918346881866j),(-0.3606962263584137+0.41054993867874146j),(-0.3606962263584137-0.41054993867874146j),(-0.5004606246948242+0.08740808814764023j),(-0.5004606246948242-0.08740808814764023j),(-0.49309808015823364+0j),(0.3017350435256958+0.44100433588027954j),(0.3017350435256958-0.44100433588027954j),(0.5211182236671448+0.06329570710659027j),(0.5211182236671448-0.06329570710659027j),(0.45564156770706177+0.24909226596355438j),(0.45564156770706177-0.24909226596355438j),(0.47296804189682007+0.17532290518283844j),(0.47296804189682007-0.17532290518283844j),(0.07821101695299149+0.48430606722831726j),(0.07821101695299149-0.48430606722831726j),(0.1858471781015396+0.44652870297431946j),(0.1858471781015396-0.44652870297431946j),(0.3701139986515045+0.2982844114303589j),(0.3701139986515045-0.2982844114303589j),(0.233474463224411+0.39682871103286743j),(0.233474463224411-0.39682871103286743j),(-0.3691413998603821+0.2349383682012558j),(-0.3691413998603821-0.2349383682012558j),(-0.047228116542100906+0.4524741768836975j),(-0.047228116542100906-0.4524741768836975j),(-0.26080581545829773+0.3497088551521301j),(-0.26080581545829773-0.3497088551521301j),(-0.13069388270378113+0.4064911901950836j),(-0.13069388270378113-0.4064911901950836j),(-0.14233125746250153+0.3768174648284912j),(-0.14233125746250153-0.3768174648284912j),(-0.34475618600845337+0.028653066605329514j),(-0.34475618600845337-0.028653066605329514j),(-0.26582959294319153+0.1972510665655136j),(-0.26582959294319153-0.1972510665655136j),(0.05865505337715149+0.34115850925445557j),(0.05865505337715149-0.34115850925445557j),(-0.10396501421928406+0.29142385721206665j),(-0.10396501421928406-0.29142385721206665j),(0.39531221985816956+0.04077905789017677j),(0.39531221985816956-0.04077905789017677j),(-0.22811882197856903+0.02262468822300434j),(-0.22811882197856903-0.02262468822300434j),(0.35759425163269043+0j),(-0.1484636664390564+0.11702106148004532j),(-0.1484636664390564-0.11702106148004532j),(0.2221396416425705+0.23248717188835144j),(0.2221396416425705-0.23248717188835144j),(0.21134279668331146+0.2210453301668167j),(0.21134279668331146-0.2210453301668167j),(0.2507137656211853+0.10992996394634247j),(0.2507137656211853-0.10992996394634247j),(-0.03258287161588669+0.20018130540847778j),(-0.03258287161588669-0.20018130540847778j),(0.07159629464149475+0.19735577702522278j),(0.07159629464149475-0.19735577702522278j),(0.0012029735371470451+0.16086573898792267j),(0.0012029735371470451-0.16086573898792267j),(0.18460240960121155+0j),(0.0705123245716095+0.09747713804244995j),(0.0705123245716095-0.09747713804244995j),(0.049215979874134064+0j)
(-0.5492109060287476+0.20264919102191925j),(-0.5492109060287476-0.20264919102191925j),(-0.3600735664367676+0.40867921710014343j),(-0.3600735664367676-0.40867921710014343j),(-0.49991026520729065+0.08787476271390915j),(-0.49991026520729065-0.08787476271390915j),(-0.4948677122592926+0j),(-0.36877548694610596+0.2362048476934433j),(-0.36877548694610596-0.2362048476934433j),(-0.25860467553138733+0.3501819670200348j),(-0.25860467553138733-0.3501819670200348j),(-0.04803738370537758+0.4497124254703522j),(-0.04803738370537758-0.4497124254703522j),(0.08449191600084305+0.4686708152294159j),(0.08449191600084305-0.4686708152294159j),(-0.15139438211917877+0.3840085566043854j),(-0.15139438211917877-0.3840085566043854j),(-0.11093935370445251+0.39620712399482727j),(-0.11093935370445251-0.39620712399482727j),(0.306085467338562+0.42836257815361023j),(0.306085467338562-0.42836257815361023j),(0.17736618220806122+0.43805834650993347j),(0.17736618220806122-0.43805834650993347j),(0.46794256567955017+0.2332697957754135j),(0.46794256567955017-0.2332697957754135j),(0.5212344527244568+0.057810038328170776j),(0.5212344527244568-0.057810038328170776j),(0.4751226007938385+0.16357678174972534j),(0.4751226007938385-0.16357678174972534j),(0.22987133264541626+0.4029601216316223j),(0.22987133264541626-0.4029601216316223j),(0.3746051490306854+0.2831505835056305j),(0.3746051490306854-0.2831505835056305j),(-0.34582602977752686+0.03245122358202934j),(-0.34582602977752686-0.03245122358202934j),(-0.2681969702243805+0.1963358223438263j),(-0.2681969702243805-0.1963358223438263j),(-0.10329347848892212+0.2957923114299774j),(-0.10329347848892212-0.2957923114299774j),(0.07947836071252823+0.34665894508361816j),(0.07947836071252823-0.34665894508361816j),(-0.22927211225032806+0.029431553557515144j),(-0.22927211225032806-0.029431553557515144j),(0.41956475377082825+0.044322237372398376j),(0.41956475377082825-0.044322237372398376j),(-0.14032605290412903+0.11998581886291504j),(-0.14032605290412903-0.11998581886291504j),(0.37024885416030884+0j),(0.24608494341373444+0.20609910786151886j),(0.24608494341373444-0.20609910786151886j),(0.205527201294899+0.22897109389305115j),(0.205527201294899-0.22897109389305115j),(0.2595766484737396+0.12510883808135986j),(0.2595766484737396-0.12510883808135986j),(-0.03170860558748245+0.19683314859867096j),(-0.03170860558748245-0.19683314859867096j),(-0.012797554023563862+0.18491816520690918j),(-0.012797554023563862-0.18491816520690918j),(0.0919765755534172+0.18142125010490417j),(0.0919765755534172-0.18142125010490417j),(0.1820494681596756+0j),(0.06771587580442429+0j),(0.05756129324436188+0.07870032638311386j),(0.05756129324436188-0.07870032638311386j)
(-0.5483853220939636+0.2017139345407486j),(-0.5483853220939636-0.2017139345407486j),(-0.3596985936164856+0.4084374010562897j),(-0.3596985936164856-0.4084374010562897j),(-0.5002221465110779+0.08801920711994171j),(-0.5002221465110779-0.08801920711994171j),(-0.4956824481487274+0j),(-0.3693491220474243+0.2365858256816864j),(-0.3693491220474243-0.2365858256816864j),(-0.2583268880844116+0.35111868381500244j),(-0.2583268880844116-0.35111868381500244j),(0.3074033260345459+0.4176162779331207j),(0.3074033260345459-0.4176162779331207j),(0.47110745310783386+0.21673868596553802j),(0.47110745310783386-0.21673868596553802j),(0.5212730765342712+0.04898589849472046j),(0.5212730765342712-0.04898589849472046j),(0.4785784184932709+0.15812046825885773j),(0.4785784184932709-0.15812046825885773j),(0.1805364191532135+0.4437407851219177j),(0.1805364191532135-0.4437407851219177j),(-0.048085883259773254+0.4473782181739807j),(-0.048085883259773254-0.4473782181739807j),(0.07995957881212234+0.4500977694988251j),(0.07995957881212234-0.4500977694988251j),(0.2232830822467804+0.40185704827308655j),(0.2232830822467804-0.40185704827308655j),(0.37601640820503235+0.26966187357902527j),(0.37601640820503235-0.26966187357902527j),(-0.15873178839683533+0.3841598927974701j),(-0.15873178839683533-0.3841598927974701j),(-0.0981845110654831+0.3891558349132538j),(-0.0981845110654831-0.3891558349132538j),(-0.3457592725753784+0.03422911837697029j),(-0.3457592725753784-0.03422911837697029j),(-0.2682717442512512+0.19585229456424713j),(-0.2682717442512512-0.19585229456424713j),(0.43611404299736023+0.04560118168592453j),(0.43611404299736023-0.04560118168592453j),(0.10674916952848434+0.3527660667896271j),(0.10674916952848434-0.3527660667896271j),(0.3846092224121094+0j),(-0.10071901977062225+0.30071744322776794j),(-0.10071901977062225-0.30071744322776794j),(0.2834610641002655+0.13109326362609863j),(0.2834610641002655-0.13109326362609863j),(0.25296252965927124+0.19243218004703522j),(0.25296252965927124-0.19243218004703522j),(0.2085694819688797+0.227394700050354j),(0.2085694819688797-0.227394700050354j),(-0.22761227190494537+0.03093169443309307j),(-0.22761227190494537-0.03093169443309307j),(-0.1365618109703064+0.11849360167980194j),(-0.1365618109703064-0.11849360167980194j),(-0.02395983412861824+0.20788145065307617j),(-0.02395983412861824-0.20788145065307617j),(-0.030284808948636055+0.1751769781112671j),(-0.030284808948636055-0.1751769781112671j),(0.10538957267999649+0.1809779852628708j),(0.10538957267999649-0.1809779852628708j),(0.1794784665107727+0j),(0.08076168596744537+0j),(0.052892427891492844+0.07675353437662125j),(0.052892427891492844-0.07675353437662125j)
(-0.5478545427322388+0.20084047317504883j),(-0.5478545427322388-0.20084047317504883j),(-0.3594382107257843+0.4085102379322052j),(-0.3594382107257843-0.4085102379322052j),(-0.5005350708961487+0.08839434385299683j),(-0.5005350708961487-0.08839434385299683j),(-0.4975164532661438+0j),(-0.36918285489082336+0.23719802498817444j),(-0.36918285489082336-0.23719802498817444j),(-0.2574729919433594+0.3525347411632538j),(-0.2574729919433594-0.3525347411632538j),(0.3123135268688202+0.4067997634410858j),(0.3123135268688202-0.4067997634410858j),(0.18999600410461426+0.4426191449165344j),(0.18999600410461426-0.4426191449165344j),(-0.04803499951958656+0.4472191035747528j),(-0.04803499951958656-0.4472191035747528j),(0.07189561426639557+0.44301363825798035j),(0.07189561426639557-0.44301363825798035j),(-0.16355222463607788+0.38042521476745605j),(-0.16355222463607788-0.38042521476745605j),(-0.34501031041145325+0.0374063178896904j),(-0.34501031041145325-0.0374063178896904j),(-0.09205985069274902+0.38686099648475647j),(-0.09205985069274902-0.38686099648475647j),(-0.26805782318115234+0.19619372487068176j),(-0.26805782318115234-0.19619372487068176j),(0.21718186140060425+0.40364813804626465j),(0.21718186140060425-0.40364813804626465j),(0.4720757305622101+0.19986115396022797j),(0.4720757305622101-0.19986115396022797j),(0.4859633445739746+0.15651361644268036j),(0.4859633445739746-0.15651361644268036j),(0.5261075496673584+0.04538963362574577j),(0.5261075496673584-0.04538963362574577j),(0.3775261342525482+0.2595178186893463j),(0.3775261342525482-0.2595178186893463j),(0.45581719279289246+0.05061987787485123j),(0.45581719279289246-0.05061987787485123j),(-0.0992974042892456+0.30709487199783325j),(-0.0992974042892456-0.30709487199783325j),(0.13291922211647034+0.34193795919418335j),(0.13291922211647034-0.34193795919418335j),(0.40185311436653137+0j),(-0.2251908779144287+0.03270406275987625j),(-0.2251908779144287-0.03270406275987625j),(0.30815503001213074+0.11408209055662155j),(0.30815503001213074-0.11408209055662155j),(0.26428094506263733+0.18106433749198914j),(0.26428094506263733-0.18106433749198914j),(0.2104773074388504+0.2245112806558609j),(0.2104773074388504-0.2245112806558609j),(-0.13559401035308838+0.11810006201267242j),(-0.13559401035308838-0.11810006201267242j),(-0.020293699577450752+0.211835116147995j),(-0.020293699577450752-0.211835116147995j),(-0.03617589548230171+0.1689782589673996j),(-0.03617589548230171-0.1689782589673996j),(0.1126117929816246+0.18257713317871094j),(0.1126117929816246-0.18257713317871094j),(0.17890015244483948+0j),(0.08981175720691681+0j),(0.05264778435230255+0.07495562732219696j),(0.05264778435230255-0.07495562732219696j)
(-0.5471979975700378+0.19996726512908936j),(-0.5471979975700378-0.19996726512908936j),(-0.35881391167640686+0.4104292094707489j),(-0.35881391167640686-0.4104292094707489j),(-0.500007152557373+0.0890185609459877j),(-0.500007152557373-0.0890185609459877j),(-0.5011709332466125+0j),(-0.36820459365844727+0.24056831002235413j),(-0.36820459365844727-0.24056831002235413j),(-0.25634291768074036+0.3551114499568939j),(-0.25634291768074036-0.3551114499568939j),(0.3216765522956848+0.39414140582084656j),(0.3216765522956848-0.39414140582084656j),(0.5434784889221191+0.04508264362812042j),(0.5434784889221191-0.04508264362812042j),(0.5039699077606201+0.15675713121891022j),(0.5039699077606201-0.15675713121891022j),(0.4791679382324219+0.17802993953227997j),(0.4791679382324219-0.17802993953227997j),(0.5018922090530396+0.05949362739920616j),(0.5018922090530396-0.05949362739920616j),(0.19396984577178955+0.445967435836792j),(0.19396984577178955-0.445967435836792j),(-0.04710624739527702+0.44776245951652527j),(-0.04710624739527702-0.44776245951652527j),(0.07072143256664276+0.43621277809143066j),(0.07072143256664276-0.43621277809143066j),(0.21997366845607758+0.3976786732673645j),(0.21997366845607758-0.3976786732673645j),(0.38557517528533936+0.25182396173477173j),(0.38557517528533936-0.25182396173477173j),(-0.1685948371887207+0.3756413161754608j),(-0.1685948371887207-0.3756413161754608j),(-0.08763867616653442+0.3864753842353821j),(-0.08763867616653442-0.3864753842353821j),(-0.34441086649894714+0.040509581565856934j),(-0.34441086649894714-0.040509581565856934j),(-0.26788344979286194+0.1946621984243393j),(-0.26788344979286194-0.1946621984243393j),(0.43478336930274963+0j),(-0.0992482379078865+0.31412458419799805j),(-0.0992482379078865-0.31412458419799805j),(0.1568826138973236+0.3238028585910797j),(0.1568826138973236-0.3238028585910797j),(-0.22330430150032043+0.03520767763257027j),(-0.22330430150032043-0.03520767763257027j),(0.3229014575481415+0.07429631799459457j),(0.3229014575481415-0.07429631799459457j),(0.2848750948905945+0.16935715079307556j),(0.2848750948905945-0.16935715079307556j),(0.2125137448310852+0.2224552035331726j),(0.2125137448310852-0.2224552035331726j),(-0.13347433507442474+0.11773819476366043j),(-0.13347433507442474-0.11773819476366043j),(-0.02056261897087097+0.21204927563667297j),(-0.02056261897087097-0.21204927563667297j),(-0.03921739012002945+0.16873103380203247j),(-0.03921739012002945-0.16873103380203247j),(0.1225973442196846+0.18617406487464905j),(0.1225973442196846-0.18617406487464905j),(0.17265084385871887+0j),(0.1057455912232399+0j),(0.048197343945503235+0.06466666609048843j),(0.048197343945503235-0.06466666609048843j)
(-0.5469546914100647+0.19873717427253723j),(-0.5469546914100647-0.19873717427253723j),(-0.3576512634754181+0.4127364754676819j),(-0.3576512634754181-0.4127364754676819j),(-0.49955999851226807+0.08987173438072205j),(-0.49955999851226807-0.08987173438072205j),(-0.5047513246536255+0j),(0.5958710312843323+0.035670019686222076j),(0.5958710312843323-0.035670019686222076j),(0.5422894954681396+0.1486663967370987j),(0.5422894954681396-0.1486663967370987j),(0.5102633237838745+0.16306249797344208j),(0.5102633237838745-0.16306249797344208j),(0.540898859500885+0.05498543009161949j),(0.540898859500885-0.05498543009161949j),(0.33630239963531494+0.3799857199192047j),(0.33630239963531494-0.3799857199192047j),(0.19692157208919525+0.4461306929588318j),(0.19692157208919525-0.4461306929588318j),(0.41305553913116455+0.2371227890253067j),(0.41305553913116455-0.2371227890253067j),(0.47340127825737+0j),(-0.36551323533058167+0.2443230301141739j),(-0.36551323533058167-0.2443230301141739j),(0.2291591614484787+0.3891853988170624j),(0.2291591614484787-0.3891853988170624j),(-0.045778315514326096+0.4472593665122986j),(-0.045778315514326096-0.4472593665122986j),(0.07213590294122696+0.4267895817756653j),(0.07213590294122696-0.4267895817756653j),(-0.2546057105064392+0.35817113518714905j),(-0.2546057105064392-0.35817113518714905j),(-0.1757185012102127+0.3715730309486389j),(-0.1757185012102127-0.3715730309486389j),(-0.08347705751657486+0.38539788126945496j),(-0.08347705751657486-0.38539788126945496j),(-0.34479662775993347+0.04593146592378616j),(-0.34479662775993347-0.04593146592378616j),(-0.26928359270095825+0.19358834624290466j),(-0.26928359270095825-0.19358834624290466j),(-0.09790471941232681+0.3193614184856415j),(-0.09790471941232681-0.3193614184856415j),(0.17669272422790527+0.3086859881877899j),(0.17669272422790527-0.3086859881877899j),(0.3131515681743622+0.1552550196647644j),(0.3131515681743622-0.1552550196647644j),(0.3393578827381134+0.02676444686949253j),(0.3393578827381134-0.02676444686949253j),(0.21522177755832672+0.2176230549812317j),(0.21522177755832672-0.2176230549812317j),(-0.2212381809949875+0.03448067605495453j),(-0.2212381809949875-0.03448067605495453j),(0.13385821878910065+0.18973146378993988j),(0.13385821878910065-0.18973146378993988j),(-0.1316104680299759+0.11418605595827103j),(-0.1316104680299759-0.11418605595827103j),(-0.020902156829833984+0.21082045137882233j),(-0.020902156829833984-0.21082045137882233j),(-0.04093386232852936+0.16761146485805511j),(-0.04093386232852936-0.16761146485805511j),(0.15563605725765228+0j),(0.12225066870450974+0j),(0.04314156249165535+0.04482530802488327j),(0.04314156249165535-0.04482530802488327j)
(0.7083137631416321+0j),(-0.5470093488693237+0.19754789769649506j),(-0.5470093488693237-0.19754789769649506j),(-0.35560691356658936+0.4144895672798157j),(-0.35560691356658936-0.4144895672798157j),(-0.509409487247467+0j),(-0.49918133020401+0.09127132594585419j),(-0.49918133020401-0.09127132594585419j),(0.6178788542747498+0j),(0.5948812365531921+0.13974890112876892j),(0.5948812365531921-0.13974890112876892j),(0.5610212087631226+0.14927531778812408j),(0.5610212087631226-0.14927531778812408j),(0.5669217109680176+0.05780404433608055j),(0.5669217109680176-0.05780404433608055j),(0.3581834137439728+0.3628499209880829j),(0.3581834137439728-0.3628499209880829j),(0.45541176199913025+0.22515690326690674j),(0.45541176199913025-0.22515690326690674j),(0.4814264178276062+0.037967853248119354j),(0.4814264178276062-0.037967853248119354j),(0.20307928323745728+0.43899279832839966j),(0.20307928323745728-0.43899279832839966j),(0.2404610961675644+0.38489192724227905j),(0.2404610961675644-0.38489192724227905j),(-0.3614291250705719+0.24677130579948425j),(-0.3614291250705719-0.24677130579948425j),(-0.2537771761417389+0.36171722412109375j),(-0.2537771761417389-0.36171722412109375j),(-0.047376226633787155+0.44596242904663086j),(-0.047376226633787155-0.44596242904663086j),(0.07669525593519211+0.4187680184841156j),(0.07669525593519211-0.4187680184841156j),(-0.18328075110912323+0.3662450909614563j),(-0.18328075110912323-0.3662450909614563j),(-0.08195271342992783+0.3814716935157776j),(-0.08195271342992783-0.3814716935157776j),(-0.3448258936405182+0.048733990639448166j),(-0.3448258936405182-0.048733990639448166j),(-0.27448391914367676+0.1934821903705597j),(-0.27448391914367676-0.1934821903705597j),(-0.09597386419773102+0.32245248556137085j),(-0.09597386419773102-0.32245248556137085j),(0.3395911753177643+0.1491532325744629j),(0.3395911753177643-0.1491532325744629j),(0.18509294092655182+0.2923007905483246j),(0.18509294092655182-0.2923007905483246j),(-0.22423237562179565+0.04018985107541084j),(-0.22423237562179565-0.04018985107541084j),(0.30734676122665405+0j),(0.2124430537223816+0.20922136306762695j),(0.2124430537223816-0.20922136306762695j),(-0.12808716297149658+0.10810120403766632j),(-0.12808716297149658-0.10810120403766632j),(-0.019761934876441956+0.20212115347385406j),(-0.019761934876441956-0.20212115347385406j),(-0.0476192869246006+0.1728672981262207j),(-0.0476192869246006-0.1728672981262207j),(0.15339666604995728+0.19270838797092438j),(0.15339666604995728-0.19270838797092438j),(0.040445148944854736+0.021378356963396072j),(0.040445148944854736-0.021378356963396072j),(0.13821983337402344+0j),(0.12612897157669067+0j)
(0.8024635910987854+0j),(0.6581501960754395+0.14250116050243378j),(0.6581501960754395-0.14250116050243378j),(0.6170800924301147+0.14878441393375397j),(0.6170800924301147-0.14878441393375397j),(0.6303980946540833+0j),(0.6257354617118835+0.07089816778898239j),(0.6257354617118835-0.07089816778898239j),(-0.5478554368019104+0.19592706859111786j),(-0.5478554368019104-0.19592706859111786j),(-0.3540189266204834+0.416198194026947j),(-0.3540189266204834-0.416198194026947j),(-0.5143410563468933+0j),(-0.499606728553772+0.09189998358488083j),(-0.499606728553772-0.09189998358488083j),(0.5056067705154419+0.21464648842811584j),(0.5056067705154419-0.21464648842811584j),(0.38484299182891846+0.3407182991504669j),(0.38484299182891846-0.3407182991504669j),(0.5209148526191711+0.05765221267938614j),(0.5209148526191711-0.05765221267938614j),(0.20967799425125122+0.4222900867462158j),(0.20967799425125122-0.4222900867462158j),(0.25417661666870117+0.3843550384044647j),(0.25417661666870117-0.3843550384044647j),(-0.35908380150794983+0.24800759553909302j),(-0.35908380150794983-0.24800759553909302j),(-0.050572220236063004+0.4452219605445862j),(-0.050572220236063004-0.4452219605445862j),(-0.25267890095710754+0.36383354663848877j),(-0.25267890095710754-0.36383354663848877j),(0.07984589040279388+0.41185545921325684j),(0.07984589040279388-0.41185545921325684j),(-0.1912410855293274+0.3632504642009735j),(-0.1912410855293274-0.3632504642009735j),(-0.0813838317990303+0.3732781410217285j),(-0.0813838317990303-0.3732781410217285j),(-0.3454172909259796+0.05072915181517601j),(-0.3454172909259796-0.05072915181517601j),(-0.2802887260913849+0.1940944343805313j),(-0.2802887260913849-0.1940944343805313j),(-0.09294344484806061+0.32483386993408203j),(-0.09294344484806061-0.32483386993408203j),(0.3698246479034424+0.15588800609111786j),(0.3698246479034424-0.15588800609111786j),(-0.22870300710201263+0.04335125535726547j),(-0.22870300710201263-0.04335125535726547j),(0.16942812502384186+0.27319619059562683j),(0.16942812502384186-0.27319619059562683j),(0.3099692463874817+0j),(0.20343686640262604+0.21644988656044006j),(0.20343686640262604-0.21644988656044006j),(0.19792741537094116+0.18072378635406494j),(0.19792741537094116-0.18072378635406494j),(-0.12417580932378769+0.09767943620681763j),(-0.12417580932378769-0.09767943620681763j),(-0.01760699786245823+0.1926228255033493j),(-0.01760699786245823-0.1926228255033493j),(-0.05554204434156418+0.17767135798931122j),(-0.05554204434156418-0.17767135798931122j),(0.005826727487146854+0j),(0.07161127775907516+0j),(0.1377747505903244+0j),(0.11655907332897186+0j)
(0.8679397106170654+0j),(0.7206056714057922+0.15381978452205658j),(0.7206056714057922-0.15381978452205658j),(0.6897380948066711+0.09366023540496826j),(0.6897380948066711-0.09366023540496826j),(0.6665292382240295+0.15299177169799805j),(0.6665292382240295-0.15299177169799805j),(0.6647094488143921+0j),(-0.5493800044059753+0.19418558478355408j),(-0.5493800044059753-0.19418558478355408j),(-0.35244402289390564+0.4165419042110443j),(-0.35244402289390564-0.4165419042110443j),(-0.5201624631881714+0j),(-0.49967536330223083+0.09223061054944992j),(-0.49967536330223083-0.09223061054944992j),(0.5604338049888611+0.20727962255477905j),(0.5604338049888611-0.20727962255477905j),(0.5608325600624084+0.031390637159347534j),(0.5608325600624084-0.031390637159347534j),(0.41506636142730713+0.3126489818096161j),(0.41506636142730713-0.3126489818096161j),(0.2691856324672699+0.38660499453544617j),(0.2691856324672699-0.38660499453544617j),(0.41090109944343567+0.17505553364753723j),(0.41090109944343567-0.17505553364753723j),(0.21250052750110626+0.3975118398666382j),(0.21250052750110626-0.3975118398666382j),(-0.35831183195114136+0.24899587035179138j),(-0.35831183195114136-0.24899587035179138j),(-0.05678017437458038+0.44551968574523926j),(-0.05678017437458038-0.44551968574523926j),(-0.25247859954833984+0.36727264523506165j),(-0.25247859954833984-0.36727264523506165j),(0.08310618996620178+0.4034293591976166j),(0.08310618996620178-0.4034293591976166j),(-0.19828914105892181+0.3597402274608612j),(-0.19828914105892181-0.3597402274608612j),(-0.34621894359588623+0.05237022787332535j),(-0.34621894359588623-0.05237022787332535j),(-0.28671783208847046+0.19439181685447693j),(-0.28671783208847046-0.19439181685447693j),(-0.08428457379341125+0.36079320311546326j),(-0.08428457379341125-0.36079320311546326j),(-0.08433463424444199+0.32854312658309937j),(-0.08433463424444199-0.32854312658309937j),(0.31809085607528687+0j),(0.14859285950660706+0.28021925687789917j),(0.14859285950660706-0.28021925687789917j),(0.22769352793693542+0.2042127400636673j),(0.22769352793693542-0.2042127400636673j),(0.20882022380828857+0.1590299904346466j),(0.20882022380828857-0.1590299904346466j),(-0.23492635786533356+0.04390354081988335j),(-0.23492635786533356-0.04390354081988335j),(-0.017590386793017387+0.18771812319755554j),(-0.017590386793017387-0.18771812319755554j),(-0.0646531954407692+0.17643339931964874j),(-0.0646531954407692-0.17643339931964874j),(-0.1203967034816742+0.08869514614343643j),(-0.1203967034816742-0.08869514614343643j),(-0.016390545293688774+0j),(0.14348259568214417+0j),(0.1007443219423294+0.006044523790478706j),(0.1007443219423294-0.006044523790478706j)
