0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
(0.09954003989696503+0.6239897012710571j),(0.09954003989696503-0.6239897012710571j),(0.4064413011074066+0.3368789255619049j),(0.4064413011074066-0.3368789255619049j),(0.5267688632011414+0j),(0.4891206920146942+0.1634945422410965j),(0.4891206920146942-0.1634945422410965j),(0.4493313431739807+0.2209945172071457j),(0.4493313431739807-0.2209945172071457j),(0.26847031712532043+0.42410075664520264j),(0.26847031712532043-0.42410075664520264j),(-0.33473050594329834+0.425893098115921j),(-0.33473050594329834-0.425893098115921j),(-0.09357606619596481+0.5084338188171387j),(-0.09357606619596481-0.5084338188171387j),(-0.17649032175540924+0.48813265562057495j),(-0.17649032175540924-0.48813265562057495j),(-0.23091493546962738+0.45953795313835144j),(-0.23091493546962738-0.45953795313835144j),(-0.5295481085777283+0.1469048261642456j),(-0.5295481085777283-0.1469048261642456j),(-0.5154125690460205+0.04860493913292885j),(-0.5154125690460205-0.04860493913292885j),(0.45482927560806274+0j),(0.2983178198337555+0.2951662540435791j),(0.2983178198337555-0.2951662540435791j),(-0.3441963791847229+0.2298910766839981j),(-0.3441963791847229-0.2298910766839981j),(-0.41254815459251404+0.06810247898101807j),(-0.41254815459251404-0.06810247898101807j),(-0.37700292468070984+0.15387490391731262j),(-0.37700292468070984-0.15387490391731262j),(-0.009952287189662457+0.4072779715061188j),(-0.009952287189662457-0.4072779715061188j),(0.3701801002025604+0.10877905786037445j),(0.3701801002025604-0.10877905786037445j),(0.1949644237756729+0.28620076179504395j),(0.1949644237756729-0.28620076179504395j),(0.01345894206315279+0.35936567187309265j),(0.01345894206315279-0.35936567187309265j),(-0.036558881402015686+0.32897454500198364j),(-0.036558881402015686-0.32897454500198364j),(0.30497419834136963+0.08662659674882889j),(0.30497419834136963-0.08662659674882889j),(-0.23069216310977936+0.22081519663333893j),(-0.23069216310977936-0.22081519663333893j),(-0.09803789108991623+0.26907429099082947j),(-0.09803789108991623-0.26907429099082947j),(0.26779448986053467+0j),(0.15872091054916382+0.1782088279724121j),(0.15872091054916382-0.1782088279724121j),(0.022845139726996422+0.21490535140037537j),(0.022845139726996422-0.21490535140037537j),(0.1532507985830307+0j),(0.11255954205989838+0.09111338108778j),(0.11255954205989838-0.09111338108778j),(-0.11803575605154037+0.18241378664970398j),(-0.11803575605154037-0.18241378664970398j),(-0.29675692319869995+0.03765837475657463j),(-0.29675692319869995-0.03765837475657463j),(-0.035830557346343994+0j),(-0.17265750467777252+0.05476366728544235j),(-0.17265750467777252-0.05476366728544235j),(-0.17141428589820862+0j)
(0.6818653345108032+0j),(0.122795470058918+0.6076439023017883j),(0.122795470058918-0.6076439023017883j),(0.4639708995819092+0.29315638542175293j),(0.4639708995819092-0.29315638542175293j),(0.5489980578422546+0.12149377912282944j),(0.5489980578422546-0.12149377912282944j),(-0.3350816071033478+0.42675691843032837j),(-0.3350816071033478-0.42675691843032837j),(-0.09279346466064453+0.5026800632476807j),(-0.09279346466064453-0.5026800632476807j),(-0.1799352616071701+0.4860677123069763j),(-0.1799352616071701-0.4860677123069763j),(-0.23487353324890137+0.4567432105541229j),(-0.23487353324890137-0.4567432105541229j),(-0.531833827495575+0.14324364066123962j),(-0.531833827495575-0.14324364066123962j),(-0.5167344808578491+0.05350903421640396j),(-0.5167344808578491-0.05350903421640396j),(0.49137774109840393+0.1556641161441803j),(0.49137774109840393-0.1556641161441803j),(0.5187032222747803+0j),(0.33481553196907043+0.3189527690410614j),(0.33481553196907043-0.3189527690410614j),(-0.3553323447704315+0.2351694256067276j),(-0.3553323447704315-0.2351694256067276j),(-0.3834979236125946+0.15619495511054993j),(-0.3834979236125946-0.15619495511054993j),(-0.4141883850097656+0.0701519325375557j),(-0.4141883850097656-0.0701519325375557j),(0.463461697101593+0j),(0.23715053498744965+0.348768025636673j),(0.23715053498744965-0.348768025636673j),(0.4075801372528076+0.05711670219898224j),(0.4075801372528076-0.05711670219898224j),(-0.0190905574709177+0.39663875102996826j),(-0.0190905574709177-0.39663875102996826j),(0.06715018302202225+0.35935133695602417j),(0.06715018302202225-0.35935133695602417j),(0.23606103658676147+0.23140186071395874j),(0.23606103658676147-0.23140186071395874j),(-0.23812110722064972+0.2085636407136917j),(-0.23812110722064972-0.2085636407136917j),(-0.2947176694869995+0.028351128101348877j),(-0.2947176694869995-0.028351128101348877j),(-0.034531958401203156+0.31787028908729553j),(-0.034531958401203156-0.31787028908729553j),(0.30927225947380066+0.021608319133520126j),(0.30927225947380066-0.021608319133520126j),(-0.12492523342370987+0.2092953473329544j),(-0.12492523342370987-0.2092953473329544j),(-0.03898414596915245+0.2481437623500824j),(-0.03898414596915245-0.2481437623500824j),(-0.0009638871415518224+0.23419120907783508j),(-0.0009638871415518224-0.23419120907783508j),(0.15108992159366608+0.18100962042808533j),(0.15108992159366608-0.18100962042808533j),(-0.1706070601940155+0.06015501171350479j),(-0.1706070601940155-0.06015501171350479j),(-0.14650844037532806+0j),(-0.038272932171821594+0j),(0.18576489388942719+0j),(0.05875732749700546+0j),(0.08978774398565292+0j)
(0.8660380840301514+0j),(0.6798236966133118+0.11723208427429199j),(0.6798236966133118-0.11723208427429199j),(0.6030759811401367+0.22498606145381927j),(0.6030759811401367-0.22498606145381927j),(0.6482601165771484+0.08246271312236786j),(0.6482601165771484-0.08246271312236786j),(0.13388533890247345+0.5785925388336182j),(0.13388533890247345-0.5785925388336182j),(-0.3368230164051056+0.42798060178756714j),(-0.3368230164051056-0.42798060178756714j),(-0.0951184332370758+0.48934614658355713j),(-0.0951184332370758-0.48934614658355713j),(-0.18462201952934265+0.48224979639053345j),(-0.18462201952934265-0.48224979639053345j),(-0.2461983859539032+0.4481360614299774j),(-0.2461983859539032-0.4481360614299774j),(-0.5367967486381531+0.14063358306884766j),(-0.5367967486381531-0.14063358306884766j),(-0.5217272043228149+0.057288769632577896j),(-0.5217272043228149-0.057288769632577896j),(0.443817675113678+0.23945997655391693j),(0.443817675113678-0.23945997655391693j),(0.5173965692520142+0.09330544620752335j),(0.5173965692520142-0.09330544620752335j),(0.5232965350151062+0j),(0.47624239325523376+0j),(-0.366522878408432+0.23558834195137024j),(-0.366522878408432-0.23558834195137024j),(-0.39397385716438293+0.15599225461483002j),(-0.39397385716438293-0.15599225461483002j),(-0.4113079905509949+0.06953820586204529j),(-0.4113079905509949-0.06953820586204529j),(-0.020845329388976097+0.3995964825153351j),(-0.020845329388976097-0.3995964825153351j),(0.1149924248456955+0.3631860613822937j),(0.1149924248456955-0.3631860613822937j),(0.20550215244293213+0.31172582507133484j),(0.20550215244293213-0.31172582507133484j),(0.347899466753006+0.06516028940677643j),(0.347899466753006-0.06516028940677643j),(0.26315975189208984+0.19866777956485748j),(0.26315975189208984-0.19866777956485748j),(-0.25584930181503296+0.1993185430765152j),(-0.25584930181503296-0.1993185430765152j),(-0.06130611151456833+0.29737159609794617j),(-0.06130611151456833-0.29737159609794617j),(0.001597992260940373+0.29340487718582153j),(0.001597992260940373-0.29340487718582153j),(-0.2952097952365875+0.026497740298509598j),(-0.2952097952365875-0.026497740298509598j),(-0.12216521054506302+0.2143763154745102j),(-0.12216521054506302-0.2143763154745102j),(0.1481131911277771+0.15756508708000183j),(0.1481131911277771-0.15756508708000183j),(-0.03615758195519447+0.1874590665102005j),(-0.03615758195519447-0.1874590665102005j),(0.19227412343025208+0j),(0.15196369588375092+0j),(-0.17248541116714478+0.0641469731926918j),(-0.17248541116714478-0.0641469731926918j),(-0.03466994687914848+0j),(-0.04776543751358986+0j),(-0.10727124661207199+0j)
(0.9683287143707275+0j),(0.8402807116508484+0.1583375632762909j),(0.8402807116508484-0.1583375632762909j),(0.7881641387939453+0.20799684524536133j),(0.7881641387939453-0.20799684524536133j),(0.782294511795044+0.08809179067611694j),(0.782294511795044-0.08809179067611694j),(0.6671731472015381+0.18202315270900726j),(0.6671731472015381-0.18202315270900726j),(0.6399050354957581+0j),(0.6039930582046509+0j),(0.5341472029685974+0.05960807204246521j),(0.5341472029685974-0.05960807204246521j),(0.1237427294254303+0.5450233817100525j),(0.1237427294254303-0.5450233817100525j),(0.4203745126724243+0.21478796005249023j),(0.4203745126724243-0.21478796005249023j),(-0.34146037697792053+0.42918863892555237j),(-0.34146037697792053-0.42918863892555237j),(-0.5452426075935364+0.13709650933742523j),(-0.5452426075935364-0.13709650933742523j),(-0.5289211273193359+0.061858389526605606j),(-0.5289211273193359-0.061858389526605606j),(-0.2621704638004303+0.4382917881011963j),(-0.2621704638004303-0.4382917881011963j),(-0.18848438560962677+0.4775848388671875j),(-0.18848438560962677-0.4775848388671875j),(-0.10441742837429047+0.47753623127937317j),(-0.10441742837429047-0.47753623127937317j),(-0.3739323318004608+0.23250578343868256j),(-0.3739323318004608-0.23250578343868256j),(-0.4025723338127136+0.16015058755874634j),(-0.4025723338127136-0.16015058755874634j),(-0.41692253947257996+0.06995245069265366j),(-0.41692253947257996-0.06995245069265366j),(0.13226549327373505+0.36513087153434753j),(0.13226549327373505-0.36513087153434753j),(-0.022640908136963844+0.3978568911552429j),(-0.022640908136963844-0.3978568911552429j),(-0.27979761362075806+0.19455525279045105j),(-0.27979761362075806-0.19455525279045105j),(0.1645912528038025+0.25159531831741333j),(0.1645912528038025-0.25159531831741333j),(-0.07647749036550522+0.2962372601032257j),(-0.07647749036550522-0.2962372601032257j),(0.0016312709776684642+0.2805919051170349j),(0.0016312709776684642-0.2805919051170349j),(-0.2930186688899994+0.02692701481282711j),(-0.2930186688899994-0.02692701481282711j),(-0.12009008228778839+0.21545110642910004j),(-0.12009008228778839-0.21545110642910004j),(0.26327112317085266+0.07652623951435089j),(0.26327112317085266-0.07652623951435089j),(0.1578977257013321+0.1545458883047104j),(0.1578977257013321-0.1545458883047104j),(0.2061302214860916+0j),(0.14417387545108795+0j),(-0.06035710126161575+0.1760219931602478j),(-0.06035710126161575-0.1760219931602478j),(-0.1809389740228653+0.07440802454948425j),(-0.1809389740228653-0.07440802454948425j),(0.004623258952051401+0j),(-0.09626574069261551+0.02722053974866867j),(-0.09626574069261551-0.02722053974866867j)
(0.9913767576217651+0j),(0.9314666390419006+0.17509381473064423j),(0.9314666390419006-0.17509381473064423j),(0.9168513417243958+0.22163233160972595j),(0.9168513417243958-0.22163233160972595j),(0.8969640135765076+0.07291758060455322j),(0.8969640135765076-0.07291758060455322j),(0.859621524810791+0.19859008491039276j),(0.859621524810791-0.19859008491039276j),(0.6972982287406921+0.1440168023109436j),(0.6972982287406921-0.1440168023109436j),(0.6763473153114319+0.05139266327023506j),(0.6763473153114319-0.05139266327023506j),(0.5501320958137512+0.21752211451530457j),(0.5501320958137512-0.21752211451530457j),(0.4591049253940582+0j),(0.10482408106327057+0.5257081985473633j),(0.10482408106327057-0.5257081985473633j),(-0.3461712896823883+0.42794016003608704j),(-0.3461712896823883-0.42794016003608704j),(-0.19095727801322937+0.47432205080986023j),(-0.19095727801322937-0.47432205080986023j),(-0.11362804472446442+0.4684824049472809j),(-0.11362804472446442-0.4684824049472809j),(-0.2779180705547333+0.4302888810634613j),(-0.2779180705547333-0.4302888810634613j),(-0.5528033971786499+0.13415110111236572j),(-0.5528033971786499-0.13415110111236572j),(-0.5327760577201843+0.06405141949653625j),(-0.5327760577201843-0.06405141949653625j),(0.13482286036014557+0.34948697686195374j),(0.13482286036014557-0.34948697686195374j),(-0.02418559044599533+0.394354909658432j),(-0.02418559044599533-0.394354909658432j),(-0.377397745847702+0.22563666105270386j),(-0.377397745847702-0.22563666105270386j),(-0.40360531210899353+0.15648670494556427j),(-0.40360531210899353-0.15648670494556427j),(-0.4185289740562439+0.07591181248426437j),(-0.4185289740562439-0.07591181248426437j),(0.17220115661621094+0.189957395195961j),(0.17220115661621094-0.189957395195961j),(-0.3033296465873718+0.1948421746492386j),(-0.3033296465873718-0.1948421746492386j),(0.10920347273349762+0.21228203177452087j),(0.10920347273349762-0.21228203177452087j),(-0.08849456906318665+0.29729709029197693j),(-0.08849456906318665-0.29729709029197693j),(0.004946795757859945+0.2665283977985382j),(0.004946795757859945-0.2665283977985382j),(0.18637588620185852+0j),(0.13454899191856384+0.03413379564881325j),(0.13454899191856384-0.03413379564881325j),(-0.1172473356127739+0.21920600533485413j),(-0.1172473356127739-0.21920600533485413j),(-0.2957572937011719+0.028497658669948578j),(-0.2957572937011719-0.028497658669948578j),(-0.08002888411283493+0.1679508537054062j),(-0.08002888411283493-0.1679508537054062j),(-0.19170619547367096+0.08956301957368851j),(-0.19170619547367096-0.08956301957368851j),(0.023727133870124817+0j),(-0.10975180566310883+0.03235729783773422j),(-0.10975180566310883-0.03235729783773422j)
(0.9522470831871033+0.24420377612113953j),(0.9522470831871033-0.24420377612113953j),(0.9985824227333069+0j),(0.9478598833084106+0.2121906727552414j),(0.9478598833084106-0.2121906727552414j),(0.9700135588645935+0.17174819111824036j),(0.9700135588645935-0.17174819111824036j),(0.9468351006507874+0.06907857954502106j),(0.9468351006507874-0.06907857954502106j),(0.8292327523231506+0.22548314929008484j),(0.8292327523231506-0.22548314929008484j),(0.8117089867591858+0j),(0.7584875822067261+0j),(0.6654345393180847+0.23217099905014038j),(0.6654345393180847-0.23217099905014038j),(0.5291246175765991+0j),(0.09273280948400497+0.5148369073867798j),(0.09273280948400497-0.5148369073867798j),(-0.3442114591598511+0.4243502616882324j),(-0.3442114591598511-0.4243502616882324j),(-0.1888098567724228+0.47445639967918396j),(-0.1888098567724228-0.47445639967918396j),(-0.11711576581001282+0.4633570909500122j),(-0.11711576581001282-0.4633570909500122j),(-0.2866455614566803+0.4276151955127716j),(-0.2866455614566803-0.4276151955127716j),(0.13768033683300018+0.32245326042175293j),(0.13768033683300018-0.32245326042175293j),(-0.021548999473452568+0.39315253496170044j),(-0.021548999473452568-0.39315253496170044j),(-0.5540865063667297+0.13251140713691711j),(-0.5540865063667297-0.13251140713691711j),(-0.5323424339294434+0.06542599946260452j),(-0.5323424339294434-0.06542599946260452j),(0.19306904077529907+0.19723062217235565j),(0.19306904077529907-0.19723062217235565j),(-0.37842875719070435+0.2188659906387329j),(-0.37842875719070435-0.2188659906387329j),(-0.3970180153846741+0.15226902067661285j),(-0.3970180153846741-0.15226902067661285j),(-0.42208895087242126+0.08099299669265747j),(-0.42208895087242126-0.08099299669265747j),(-0.3191682696342468+0.19873936474323273j),(-0.3191682696342468-0.19873936474323273j),(-0.09873168170452118+0.2992849349975586j),(-0.09873168170452118-0.2992849349975586j),(0.021236363798379898+0.25517579913139343j),(0.021236363798379898-0.25517579913139343j),(0.0669068843126297+0.2084922194480896j),(0.0669068843126297-0.2084922194480896j),(0.1761646568775177+0j),(0.12946531176567078+0.029018912464380264j),(0.12946531176567078-0.029018912464380264j),(-0.114854596555233+0.22148196399211884j),(-0.114854596555233-0.22148196399211884j),(-0.29552537202835083+0.027692124247550964j),(-0.29552537202835083-0.027692124247550964j),(-0.08465033769607544+0.16506248712539673j),(-0.08465033769607544-0.16506248712539673j),(-0.1961546242237091+0.1003325879573822j),(-0.1961546242237091-0.1003325879573822j),(0.02492336556315422+0j),(-0.11272474378347397+0.028166580945253372j),(-0.11272474378347397-0.028166580945253372j)
(0.9628298878669739+0.24946025013923645j),(0.9628298878669739-0.24946025013923645j),(0.9054459929466248+0.26688840985298157j),(0.9054459929466248-0.26688840985298157j),(0.9627605676651001+0.2106737643480301j),(0.9627605676651001-0.2106737643480301j),(0.9774612784385681+0.1696440428495407j),(0.9774612784385681-0.1696440428495407j),(0.9991329908370972+0j),(0.9511983394622803+0.08130940794944763j),(0.9511983394622803-0.08130940794944763j),(0.9236020445823669+0j),(0.7667593359947205+0.2641972303390503j),(0.7667593359947205-0.2641972303390503j),(0.837929904460907+0j),(0.5846672654151917+0j),(0.08740635216236115+0.5124590992927551j),(0.08740635216236115-0.5124590992927551j),(-0.34105512499809265+0.4202658236026764j),(-0.34105512499809265-0.4202658236026764j),(-0.1804279237985611+0.4769228398799896j),(-0.1804279237985611-0.4769228398799896j),(-0.2903406322002411+0.42694032192230225j),(-0.2903406322002411-0.42694032192230225j),(-0.1183009073138237+0.4640980362892151j),(-0.1183009073138237-0.4640980362892151j),(-0.552527129650116+0.1311793327331543j),(-0.552527129650116-0.1311793327331543j),(-0.5279058814048767+0.06569835543632507j),(-0.5279058814048767-0.06569835543632507j),(-0.019758572801947594+0.3926425874233246j),(-0.019758572801947594-0.3926425874233246j),(-0.3816472589969635+0.21290135383605957j),(-0.3816472589969635-0.21290135383605957j),(-0.4252960979938507+0.07518600672483444j),(-0.4252960979938507-0.07518600672483444j),(-0.39606773853302+0.15881288051605225j),(-0.39606773853302-0.15881288051605225j),(0.14027610421180725+0.29116326570510864j),(0.14027610421180725-0.29116326570510864j),(0.22003325819969177+0.20348374545574188j),(0.22003325819969177-0.20348374545574188j),(-0.31444305181503296+0.20657378435134888j),(-0.31444305181503296-0.20657378435134888j),(-0.10286632925271988+0.29809126257896423j),(-0.10286632925271988-0.29809126257896423j),(0.040851324796676636+0.2558436691761017j),(0.040851324796676636-0.2558436691761017j),(0.1519026756286621+0j),(0.1451568454504013+0.029955334961414337j),(0.1451568454504013-0.029955334961414337j),(0.038930173963308334+0.1998351663351059j),(0.038930173963308334-0.1998351663351059j),(-0.10271738469600677+0.23445801436901093j),(-0.10271738469600677-0.23445801436901093j),(-0.286885142326355+0.02051508240401745j),(-0.286885142326355-0.02051508240401745j),(-0.19746685028076172+0.1100219190120697j),(-0.19746685028076172-0.1100219190120697j),(-0.09745796024799347+0.15587833523750305j),(-0.09745796024799347-0.15587833523750305j),(0.026529749855399132+0j),(-0.11461823433637619+0.02398761175572872j),(-0.11461823433637619-0.02398761175572872j)
(0.8404789566993713+0.2933751046657562j),(0.8404789566993713-0.2933751046657562j),(0.9311429262161255+0.2853158414363861j),(0.9311429262161255-0.2853158414363861j),(0.9645454287528992+0.248066246509552j),(0.9645454287528992-0.248066246509552j),(0.9698336124420166+0.20852798223495483j),(0.9698336124420166-0.20852798223495483j),(0.9799599647521973+0.17090100049972534j),(0.9799599647521973-0.17090100049972534j),(1.001018762588501+0j),(0.9580838084220886+0.10337187349796295j),(0.9580838084220886-0.10337187349796295j),(0.934690535068512+0.016150236129760742j),(0.934690535068512-0.016150236129760742j),(0.6347070932388306+0j),(0.08266181498765945+0.5168790221214294j),(0.08266181498765945-0.5168790221214294j),(-0.16123628616333008+0.4774920642375946j),(-0.16123628616333008-0.4774920642375946j),(-0.11995907127857208+0.4727226197719574j),(-0.11995907127857208-0.4727226197719574j),(-0.3405901789665222+0.4185527265071869j),(-0.3405901789665222-0.4185527265071869j),(-0.2908848524093628+0.4271729588508606j),(-0.2908848524093628-0.4271729588508606j),(-0.5522082448005676+0.13047125935554504j),(-0.5522082448005676-0.13047125935554504j),(-0.5217120051383972+0.06557182222604752j),(-0.5217120051383972-0.06557182222604752j),(0.25873255729675293+0.20948302745819092j),(0.25873255729675293-0.20948302745819092j),(-0.01725534349679947+0.3959095776081085j),(-0.01725534349679947-0.3959095776081085j),(-0.42448362708091736+0.07032062858343124j),(-0.42448362708091736-0.07032062858343124j),(-0.38657519221305847+0.20033223927021027j),(-0.38657519221305847-0.20033223927021027j),(-0.3870532810688019+0.1624881625175476j),(-0.3870532810688019-0.1624881625175476j),(-0.30931058526039124+0.21340301632881165j),(-0.30931058526039124-0.21340301632881165j),(0.1359449028968811+0.26816025376319885j),(0.1359449028968811-0.26816025376319885j),(-0.10512078553438187+0.29580098390579224j),(-0.10512078553438187-0.29580098390579224j),(0.04147239401936531+0.2575715482234955j),(0.04147239401936531-0.2575715482234955j),(-0.09553685784339905+0.2437206357717514j),(-0.09553685784339905-0.2437206357717514j),(0.15837237238883972+0.04474245384335518j),(0.15837237238883972-0.04474245384335518j),(0.03215625882148743+0.18806864321231842j),(0.03215625882148743-0.18806864321231842j),(-0.28531989455223083+0.01556385774165392j),(-0.28531989455223083-0.01556385774165392j),(-0.1994437575340271+0.11055217683315277j),(-0.1994437575340271-0.11055217683315277j),(-0.0984572023153305+0.1499999761581421j),(-0.0984572023153305-0.1499999761581421j),(-0.11169259250164032+0.016799386590719223j),(-0.11169259250164032-0.016799386590719223j),(0.028754649683833122+0j),(0.13208834826946259+0j)
(0.8874800205230713+0.31830620765686035j),(0.8874800205230713-0.31830620765686035j),(0.9390202164649963+0.2887778878211975j),(0.9390202164649963-0.2887778878211975j),(0.9675344228744507+0.24768362939357758j),(0.9675344228744507-0.24768362939357758j),(0.9704548716545105+0.2101413458585739j),(0.9704548716545105-0.2101413458585739j),(0.9819467067718506+0.16965939104557037j),(0.9819467067718506-0.16965939104557037j),(0.9667372703552246+0.11585916578769684j),(0.9667372703552246-0.11585916578769684j),(1.000693917274475+0j),(0.9635230898857117+0.03339463844895363j),(0.9635230898857117-0.03339463844895363j),(0.6771220564842224+0j),(0.07537702471017838+0.5293698310852051j),(0.07537702471017838-0.5293698310852051j),(-0.10688481479883194+0.5036943554878235j),(-0.10688481479883194-0.5036943554878235j),(0.2981414198875427+0.21466290950775146j),(0.2981414198875427-0.21466290950775146j),(-0.34082290530204773+0.41819310188293457j),(-0.34082290530204773-0.41819310188293457j),(-0.28837850689888+0.42606592178344727j),(-0.28837850689888-0.42606592178344727j),(-0.1491999626159668+0.45647215843200684j),(-0.1491999626159668-0.45647215843200684j),(-0.5529299974441528+0.12890009582042694j),(-0.5529299974441528-0.12890009582042694j),(-0.014061828143894672+0.39973166584968567j),(-0.014061828143894672-0.39973166584968567j),(-0.513954222202301+0.06364762783050537j),(-0.513954222202301-0.06364762783050537j),(-0.3942245543003082+0.19194260239601135j),(-0.3942245543003082-0.19194260239601135j),(-0.38247179985046387+0.17295995354652405j),(-0.38247179985046387-0.17295995354652405j),(-0.4174422025680542+0.05585756152868271j),(-0.4174422025680542-0.05585756152868271j),(-0.30316975712776184+0.2143089920282364j),(-0.30316975712776184-0.2143089920282364j),(0.13167014718055725+0.2517980933189392j),(0.13167014718055725-0.2517980933189392j),(-0.10461583733558655+0.2975388169288635j),(-0.10461583733558655-0.2975388169288635j),(0.04294082522392273+0.25469428300857544j),(0.04294082522392273-0.25469428300857544j),(-0.09421945363283157+0.24049457907676697j),(-0.09421945363283157-0.24049457907676697j),(0.1603478193283081+0.052487827837467194j),(0.1603478193283081-0.052487827837467194j),(0.03080279938876629+0.18428559601306915j),(0.03080279938876629-0.18428559601306915j),(0.13117249310016632+0j),(-0.28573182225227356+0.012000424787402153j),(-0.28573182225227356-0.012000424787402153j),(-0.19702105224132538+0.11156559735536575j),(-0.19702105224132538-0.11156559735536575j),(-0.09418725967407227+0.15320426225662231j),(-0.09418725967407227-0.15320426225662231j),(0.03256014734506607+0j),(-0.1063959002494812+0.0050744242034852505j),(-0.1063959002494812-0.0050744242034852505j)
(0.913081705570221+0.3366755247116089j),(0.913081705570221-0.3366755247116089j),(0.9448508620262146+0.28708550333976746j),(0.9448508620262146-0.28708550333976746j),(0.9679074287414551+0.24965718388557434j),(0.9679074287414551-0.24965718388557434j),(0.9770401120185852+0.20919755101203918j),(0.9770401120185852-0.20919755101203918j),(0.9816390872001648+0.17137981951236725j),(0.9816390872001648-0.17137981951236725j),(0.9726148247718811+0.12299638241529465j),(0.9726148247718811-0.12299638241529465j),(0.9996424913406372+0j),(0.9787866473197937+0.038721561431884766j),(0.9787866473197937-0.038721561431884766j),(0.7177546620368958+0j),(0.05710013955831528+0.5448348522186279j),(0.05710013955831528-0.5448348522186279j),(-0.07759807258844376+0.524725615978241j),(-0.07759807258844376-0.524725615978241j),(0.3332660496234894+0.21528787910938263j),(0.3332660496234894-0.21528787910938263j),(-0.33883556723594666+0.4164751470088959j),(-0.33883556723594666-0.4164751470088959j),(-0.28733864426612854+0.4259398281574249j),(-0.28733864426612854-0.4259398281574249j),(-0.5497172474861145+0.12827961146831512j),(-0.5497172474861145-0.12827961146831512j),(-0.1462942659854889+0.44870758056640625j),(-0.1462942659854889-0.44870758056640625j),(-0.508532702922821+0.05972233787178993j),(-0.508532702922821-0.05972233787178993j),(-0.012195422314107418+0.4022909998893738j),(-0.012195422314107418-0.4022909998893738j),(-0.3931625187397003+0.1852029412984848j),(-0.3931625187397003-0.1852029412984848j),(-0.38156890869140625+0.17565548419952393j),(-0.38156890869140625-0.17565548419952393j),(-0.4144804775714874+0.047964680939912796j),(-0.4144804775714874-0.047964680939912796j),(-0.2997927665710449+0.2151392102241516j),(-0.2997927665710449-0.2151392102241516j),(0.1265777051448822+0.24402876198291779j),(0.1265777051448822-0.24402876198291779j),(-0.10386575758457184+0.2973509728908539j),(-0.10386575758457184-0.2973509728908539j),(0.04248129576444626+0.25181707739830017j),(0.04248129576444626-0.25181707739830017j),(-0.09309528023004532+0.24042253196239471j),(-0.09309528023004532-0.24042253196239471j),(0.16110138595104218+0.05677386373281479j),(0.16110138595104218-0.05677386373281479j),(0.033250659704208374+0.18172790110111237j),(0.033250659704208374-0.18172790110111237j),(-0.29350775480270386+0j),(-0.27863195538520813+0j),(-0.1966705620288849+0.1116047129034996j),(-0.1966705620288849-0.1116047129034996j),(-0.08701866865158081+0.1515888273715973j),(-0.08701866865158081-0.1515888273715973j),(0.132814422249794+0j),(0.03322773054242134+0j),(-0.11165798455476761+0j),(-0.09494218230247498+0j)
